NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,2,0,AZ,94,Thu Mar  5 16:50:03 PST 2020,1583455803
California,39512223,60,1,CA,383,Thu Mar  5 16:50:03 PST 2020,1583455803
Florida,21477737,4,0,FL,211,Thu Mar  5 16:50:03 PST 2020,1583455803
Georgia,10617423,2,0,GA,147,Thu Mar  5 16:50:03 PST 2020,1583455803
Illinois,12671821,5,0,IL,194,Thu Mar  5 16:50:03 PST 2020,1583455803
Massachusetts,6892503,2,0,MA,78,Thu Mar  5 16:50:03 PST 2020,1583455803
Nebraska,1934408,13,0,NE,91,Thu Mar  5 16:50:03 PST 2020,1583455803
New Hampshire,1359711,2,0,NH,28,Thu Mar  5 16:50:03 PST 2020,1583455803
New Jersey,8882190,2,0,NJ,80,Thu Mar  5 16:50:03 PST 2020,1583455803
New York,19453561,22,0,NY,194,Thu Mar  5 16:50:03 PST 2020,1583455803
North Carolina,10488084,1,0,NC,120,Thu Mar  5 16:50:03 PST 2020,1583455803
Oregon,4217737,2,0,OR,62,Thu Mar  5 16:50:03 PST 2020,1583455803
Rhode Island,1059361,2,0,RI,12,Thu Mar  5 16:50:03 PST 2020,1583455803
Tennessee,6829174,1,0,TN,118,Thu Mar  5 16:50:03 PST 2020,1583455803
Texas,28995881,14,0,TX,457,Thu Mar  5 16:50:03 PST 2020,1583455803
Utah,3205958,1,0,UT,52,Thu Mar  5 16:50:03 PST 2020,1583455803
Washington,7614893,75,11,WA,101,Thu Mar  5 16:50:03 PST 2020,1583455803
Wisconsin,5822434,1,0,WI,136,Thu Mar  5 16:50:03 PST 2020,1583455803
