NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,2,0,AZ,94,Wed Mar  4 19:07:17 PST 2020,1583377637
California,39512223,51,1,CA,383,Wed Mar  4 19:07:17 PST 2020,1583377637
Florida,21477737,3,0,FL,211,Wed Mar  4 19:07:17 PST 2020,1583377637
Georgia,10617423,2,0,GA,147,Wed Mar  4 19:07:17 PST 2020,1583377637
Illinois,12671821,4,0,IL,194,Wed Mar  4 19:07:17 PST 2020,1583377637
Massachusetts,6892503,2,0,MA,78,Wed Mar  4 19:07:17 PST 2020,1583377637
Nebraska,1934408,13,0,NE,91,Wed Mar  4 19:07:17 PST 2020,1583377637
New Hampshire,1359711,2,0,NH,28,Wed Mar  4 19:07:17 PST 2020,1583377637
New York,19453561,11,0,NY,194,Wed Mar  4 19:07:17 PST 2020,1583377637
North Carolina,10488084,1,0,NC,120,Wed Mar  4 19:07:17 PST 2020,1583377637
Oregon,4217737,2,0,OR,62,Wed Mar  4 19:07:17 PST 2020,1583377637
Rhode Island,1059361,2,0,RI,12,Wed Mar  4 19:07:17 PST 2020,1583377637
Texas,28995881,11,0,TX,457,Wed Mar  4 19:07:17 PST 2020,1583377637
Utah,3205958,1,0,UT,52,Wed Mar  4 19:07:17 PST 2020,1583377637
Washington,7614893,44,10,WA,101,Wed Mar  4 19:07:17 PST 2020,1583377637
Wisconsin,5822434,1,0,WI,136,Wed Mar  4 19:07:17 PST 2020,1583377637
