NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,3,0,AZ,94,Fri Mar  6 19:31:58 PST 2020,1583551918
California,39512223,79,1,CA,383,Fri Mar  6 19:31:58 PST 2020,1583551918
Colorado,5758736,2,0,CO,91,Fri Mar  6 19:31:58 PST 2020,1583551918
Florida,21477737,4,0,FL,211,Fri Mar  6 19:31:58 PST 2020,1583551918
Georgia,10617423,3,0,GA,147,Fri Mar  6 19:31:58 PST 2020,1583551918
Illinois,12671821,5,0,IL,194,Fri Mar  6 19:31:58 PST 2020,1583551918
Indiana,6732219,1,0,IN,147,Fri Mar  6 19:31:58 PST 2020,1583551918
Kentucky,4467673,1,0,KY,102,Fri Mar  6 19:31:58 PST 2020,1583551918
Maryland,6045680,3,0,MD,56,Fri Mar  6 19:31:58 PST 2020,1583551918
Massachusetts,6892503,8,0,MA,78,Fri Mar  6 19:31:58 PST 2020,1583551918
Minnesota,5639632,1,0,MN,138,Fri Mar  6 19:31:58 PST 2020,1583551918
Nebraska,1934408,14,0,NE,91,Fri Mar  6 19:31:58 PST 2020,1583551918
Nevada,3080156,2,0,NV,45,Fri Mar  6 19:31:58 PST 2020,1583551918
New Hampshire,1359711,2,0,NH,28,Fri Mar  6 19:31:58 PST 2020,1583551918
New Jersey,8882190,3,0,NJ,80,Fri Mar  6 19:31:58 PST 2020,1583551918
New York,19453561,44,0,NY,194,Fri Mar  6 19:31:58 PST 2020,1583551918
North Carolina,10488084,2,0,NC,120,Fri Mar  6 19:31:58 PST 2020,1583551918
Oklahoma,3956971,1,0,OK,130,Fri Mar  6 19:31:58 PST 2020,1583551918
Oregon,4217737,2,0,OR,62,Fri Mar  6 19:31:58 PST 2020,1583551918
Pennsylvania,12801989,2,0,PA,190,Fri Mar  6 19:31:58 PST 2020,1583551918
Rhode Island,1059361,3,0,RI,12,Fri Mar  6 19:31:58 PST 2020,1583551918
Tennessee,6829174,1,0,TN,118,Fri Mar  6 19:31:58 PST 2020,1583551918
Texas,28995881,19,0,TX,457,Fri Mar  6 19:31:58 PST 2020,1583551918
Utah,3205958,1,0,UT,52,Fri Mar  6 19:31:58 PST 2020,1583551918
Washington,7614893,84,14,WA,101,Fri Mar  6 19:31:58 PST 2020,1583551918
Wisconsin,5822434,1,0,WI,136,Fri Mar  6 19:31:58 PST 2020,1583551918
