NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,2,0,AZ,94,Thu Mar  5 08:10:51 PST 2020,1583424651
California,39512223,54,1,CA,383,Thu Mar  5 08:10:51 PST 2020,1583424651
Florida,21477737,3,0,FL,211,Thu Mar  5 08:10:51 PST 2020,1583424651
Georgia,10617423,2,0,GA,147,Thu Mar  5 08:10:51 PST 2020,1583424651
Illinois,12671821,4,0,IL,194,Thu Mar  5 08:10:51 PST 2020,1583424651
Massachusetts,6892503,2,0,MA,78,Thu Mar  5 08:10:51 PST 2020,1583424651
Nebraska,1934408,13,0,NE,91,Thu Mar  5 08:10:51 PST 2020,1583424651
New Hampshire,1359711,2,0,NH,28,Thu Mar  5 08:10:51 PST 2020,1583424651
New Jersey,8882190,1,0,NJ,80,Thu Mar  5 08:10:51 PST 2020,1583424651
New York,19453561,13,0,NY,194,Thu Mar  5 08:10:51 PST 2020,1583424651
North Carolina,10488084,1,0,NC,120,Thu Mar  5 08:10:51 PST 2020,1583424651
Oregon,4217737,2,0,OR,62,Thu Mar  5 08:10:51 PST 2020,1583424651
Rhode Island,1059361,2,0,RI,12,Thu Mar  5 08:10:51 PST 2020,1583424651
Texas,28995881,12,0,TX,457,Thu Mar  5 08:10:51 PST 2020,1583424651
Utah,3205958,1,0,UT,52,Thu Mar  5 08:10:51 PST 2020,1583424651
Washington,7614893,45,10,WA,101,Thu Mar  5 08:10:51 PST 2020,1583424651
Wisconsin,5822434,1,0,WI,136,Thu Mar  5 08:10:51 PST 2020,1583424651
